date,시가,고가,저가,종가,PDI,MDI,ADX,SlowK,SlowD,거래량,미결제
2025/08/29/02:00,433.95,434.45,433.9,434.45,32.60060711,10.8178809,27.76037958,73.01587302,76.52437271,386,264921
2025/08/29/03:00,434.45,434.75,434.4,434.75,36.28859768,10.06673273,31.60127531,83.53909465,78.86261336,350,264933
2025/08/29/04:00,434.75,434.9,434.65,434.8,37.57208671,9.521824382,35.32942488,89.27038627,82.33187099,390,264949
2025/08/29/05:00,434.8,434.85,434.45,434.6,34.15856672,13.19936996,36.51976674,92.27467811,85.64614003,202,264964
2025/08/30/00:00,427.65,428.05,427.5,427.55,11.45279004,39.64536863,55.43664161,10.16949153,9.323184492,1168,266160
2025/08/30/01:00,427.6,428.2,427.6,428,12.53470865,35.95536768,54.48507624,10.97560976,9.873992913,803,266186
2025/08/30/02:00,427.95,428.15,427.65,428.05,11.57821888,33.21171068,53.66038625,10.59602649,10.11467077,619,266233
2025/08/30/03:00,428,428.15,427.8,428.05,10.90604838,31.2836134,52.94565493,13.46153846,11.23029334,643,266287
2025/08/30/04:00,428,428.15,427.85,427.9,10.31385979,29.58494141,52.32622112,15.4040404,12.62154236,801,266205
2025/08/30/05:00,427.95,428.05,427.45,427.45,9.165385558,33.71408481,52.98278793,16.38888889,13.87732454,510,266160
2025/09/02/00:00,424.25,424.35,424.1,424.15,16.79853416,33.8836993,52.82706722,32.26950355,27.88151634,126,272375
2025/09/02/01:00,424.15,424.25,424.05,424.1,16.12817675,33.52918898,50.45574591,38.38383838,31.38229035,109,272368
2025/09/02/02:00,424.15,424.35,424.1,424.3,17.42737384,31.70440064,47.60279882,45.6937799,36.15278687,65,272328
2025/09/02/03:00,424.35,424.35,424.3,424.35,17.21121211,31.31115275,45.13024467,54.46153846,42.25570407,12,272325
2025/09/02/04:00,424.35,424.45,424.35,424.45,19.51498566,30.43985353,42.02881053,67.38197425,50.63112746,39,272310
2025/09/02/05:00,424.45,424.5,424.45,424.5,20.78668477,29.95889028,38.8349541,78.2122905,59.82484847,78,272290
2025/09/03/00:00,426,426.2,424.6,424.75,16.40850043,38.04109432,41.08685869,30.75221239,44.86947571,2006,269274
2025/09/03/01:00,424.75,425.35,424.65,425.25,14.99515345,34.76442283,40.90588786,27.21088435,38.98327859,1049,269462
2025/09/03/02:00,425.3,426.05,425.1,425.85,21.97040495,30.63263737,37.64739215,31.86046512,36.60900743,932,269320
2025/09/03/03:00,425.8,426.2,425.65,426,22.36041492,28.37946732,34.20941543,32.38770686,35.20190724,611,269353
2025/09/03/04:00,426.1,426.85,426,426.8,28.63474237,25.08873547,30.52822391,36.86746988,35.75709479,1017,269330
2025/09/03/05:00,426.8,427.55,426.55,427.5,34.26032867,21.67672127,29.45726278,52.52525253,41.3464807,765,269372
2025/09/04/00:00,431.05,431.05,430.4,430.4,30.5329559,10.31999131,48.98179913,77.44807122,83.37555674,1149,267822
2025/09/04/01:00,430.45,430.8,430.3,430.5,27.96543803,11.13398375,48.19060381,72.45901639,79.73670996,601,267823
2025/09/04/02:00,430.5,430.95,430.15,430.2,24.20740383,9.637783631,47.5049012,66.66666667,75.38002886,787,267839
2025/09/04/03:00,430.2,430.2,429.95,430.05,23.08864745,12.88960604,44.95062033,59.3495935,70.0365504,636,267914
2025/09/04/04:00,430,430.95,430,430.95,32.50050243,10.71778576,45.67742006,54.22222222,64.76510768,534,267822
2025/09/04/05:00,430.95,431.15,430.9,431.1,34.81239614,10.19613011,46.87942415,56.37254902,61.96758812,363,267880
2025/09/05/00:00,431.25,431.65,431.05,431.4,25.43601523,19.77551539,16.62283751,40.55555556,43.36715234,1080,262537
2025/09/05/01:00,431.4,431.85,431.3,431.6,26.54290286,17.77240117,17.04527719,44.76190476,43.83206981,610,262425
