dates,model0,model1,model2,model3,model4,model5,model6,model7,model8,model9
2024/01/11/09:00,1.3045363887751515,1.5469971299337097,1.3256024681516887,1.3840293679595543,1.370130463664141,1.422039486525137,1.3086924129231758,1.2769182537407204,1.2906121669160133,1.3256024681516887
2024/01/11/10:00,1.3045363887751515,1.5469971299337097,1.3256024681516887,1.3840293679595543,1.370130463664141,1.422039486525137,1.3086924129231758,1.2769182537407204,1.2906121669160133,1.3256024681516887
2024/01/11/11:00,1.3045363887751515,1.5469971299337097,1.3256024681516887,1.3840293679595543,1.370130463664141,1.422039486525137,1.3086924129231758,1.2769182537407204,1.2906121669160133,1.3256024681516887
2024/01/11/12:00,1.3045363887751515,1.5469971299337097,1.3256024681516887,1.3840293679595543,1.370130463664141,1.422039486525137,1.3086924129231758,1.2769182537407204,1.2906121669160133,1.3256024681516887
2024/01/11/13:00,1.3045363887751515,1.5469971299337097,1.3256024681516887,1.3840293679595543,1.370130463664141,1.422039486525137,1.3086924129231758,1.2769182537407204,1.2906121669160133,1.3256024681516887
2024/01/11/14:00,1.3045363887751515,1.5469971299337097,1.3256024681516887,1.3840293679595543,1.370130463664141,1.422039486525137,1.3086924129231758,1.2769182537407204,1.2906121669160133,1.3256024681516887
2024/01/11/15:00,1.286015730763659,1.533345088113803,1.3119504263317823,1.370377326139648,1.3564784218442345,1.4083874447052303,1.2950403711032694,1.263266211920814,1.2591085323936233,1.3119504263317823
2024/01/12/09:00,1.286015730763659,1.533345088113803,1.3119504263317823,1.370377326139648,1.3564784218442345,1.4083874447052303,1.2950403711032694,1.263266211920814,1.2591085323936233,1.3119504263317823
2024/01/12/10:00,1.286015730763659,1.533345088113803,1.3119504263317823,1.370377326139648,1.3564784218442345,1.4083874447052303,1.2950403711032694,1.263266211920814,1.2591085323936233,1.3119504263317823
2024/01/12/11:00,1.286015730763659,1.533345088113803,1.3119504263317823,1.370377326139648,1.3564784218442345,1.4083874447052303,1.2950403711032694,1.263266211920814,1.2591085323936233,1.3119504263317823
2024/01/12/12:00,1.286015730763659,1.533345088113803,1.3119504263317823,1.370377326139648,1.3564784218442345,1.4083874447052303,1.2950403711032694,1.263266211920814,1.2591085323936233,1.3119504263317823
