dates,model0,model1,model2,model3,model4,model5,model6,model7,model8,model9
2021/01/19/15:00,1.081202247240789,0.9408132595771332,1.444834843012114,1.359582306042947,0.9215425392728142,0.7354812355837226,0.8346567006701268,1.3177329869489336,0.5586647590174676,1.102174663238757
2021/01/20/09:00,1.081202247240789,0.9408132595771332,1.444834843012114,1.359582306042947,0.9215425392728142,0.7354812355837226,0.8346567006701268,1.3177329869489336,0.5586647590174676,1.102174663238757
2021/01/20/10:00,1.081202247240789,0.8082324826561691,1.31225406609115,1.227001529121983,0.78896176235185,0.6029004586627585,0.7020759237491626,1.1851522100279694,0.5586647590174676,0.969593886317793
2021/01/20/11:00,1.081202247240789,0.8082324826561691,1.31225406609115,1.227001529121983,0.78896176235185,0.6029004586627585,0.7020759237491626,1.1851522100279694,0.5586647590174676,0.969593886317793
2021/01/20/12:00,1.081202247240789,0.8082324826561691,1.31225406609115,1.227001529121983,0.78896176235185,0.6029004586627585,0.7020759237491626,1.1851522100279694,0.5586647590174676,0.969593886317793
2021/01/20/13:00,1.081202247240789,0.8082324826561691,1.31225406609115,1.2045110937024677,0.78896176235185,0.6029004586627585,0.7020759237491626,1.1851522100279694,0.5586647590174676,0.969593886317793
2021/01/20/14:00,1.081202247240789,0.8082324826561691,1.31225406609115,1.071929712073196,0.78896176235185,0.6029004586627585,0.7020759237491626,1.1851522100279694,0.5586647590174676,0.969593886317793
2021/01/20/15:00,1.1129762731361859,0.8834227664186818,1.3874443498536628,1.0463322543584779,0.8641520461143628,0.6780907424252712,0.7772662075116754,1.2603424937904821,0.5586647590174676,1.0447841700803058
2021/01/21/09:00,1.1129762731361859,0.8834227664186818,1.3874443498536628,1.0463322543584779,0.8641520461143628,0.6780907424252712,0.7772662075116754,1.2603424937904821,0.5586647590174676,1.0447841700803058
2021/01/21/10:00,1.1129762731361859,0.8834227664186818,1.3874443498536628,1.0463322543584779,0.8641520461143628,0.6780907424252712,0.7772662075116754,1.2603424937904821,0.5586647590174676,1.0447841700803058
2021/01/21/11:00,1.1129762731361859,0.8834227664186818,1.3874443498536628,1.0463322543584779,0.8641520461143628,0.6780907424252712,0.7772662075116754,1.2603424937904821,0.5586647590174676,1.0447841700803058
2021/01/21/12:00,1.1129762731361859,0.8834227664186818,1.3874443498536628,1.0463322543584779,0.8641520461143628,0.6780907424252712,0.7772662075116754,1.2603424937904821,0.5586647590174676,1.0447841700803058
2021/01/21/13:00,1.1129762731361859,0.8834227664186818,1.3874443498536628,1.0463322543584779,0.8641520461143628,0.6780907424252712,0.7772662075116754,1.2603424937904821,0.5586647590174676,1.0447841700803058
2021/01/21/14:00,1.1129762731361859,0.8834227664186818,1.3874443498536628,1.0463322543584779,0.8641520461143628,0.6780907424252712,0.7772662075116754,1.2603424937904821,0.5586647590174676,1.0447841700803058
2021/01/21/15:00,1.233122045494149,1.0035685387766449,1.5075901222116257,1.166478026716441,0.9842978184723258,0.7982365147832342,0.8974119798696384,1.3804882661484452,0.619888467127204,1.1649299424382686
2021/01/22/09:00,1.233122045494149,1.0035685387766449,1.5075901222116257,1.166478026716441,0.9842978184723258,0.7982365147832342,0.8974119798696384,1.3804882661484452,0.619888467127204,1.1649299424382686
2021/01/22/10:00,1.233122045494149,1.0035685387766449,1.5075901222116257,1.166478026716441,0.9842978184723258,0.7982365147832342,0.8974119798696384,1.3804882661484452,0.619888467127204,1.1649299424382686
2021/01/22/11:00,1.233122045494149,1.0035685387766449,1.5075901222116257,1.166478026716441,0.9842978184723258,0.7982365147832342,0.8974119798696384,1.3804882661484452,0.619888467127204,1.1649299424382686
