dates,model0,model1,model2,model3,model4,model5,model6,model7,model8,model9,model10,model11,model12,model13,model14,model15,model16,model17,model18,model19,model20,model21,model22,model23,model24,model25,model26,model27,model28,model29,model30,model31,model32,model33,model34,model35,model36,model37,model38,model39,model40,model41,model42,model43,model44,model45,model46,model47,model48,model49
2025/04/15/12:00,0.9707616,0.9932616750000003,0.9895117875000009,0.9820114875,0.9895117875000009,0.9895117875000009,1.0,0.9782614875,0.9920113375,0.9820116,0.9707619375,0.9707619375,0.9782616,0.9820116,1.0,0.9782614875,0.9782614875,0.9745119375,0.9845119375000011,0.9882612249999991,0.9845119375000011,0.9745119375,1.0,0.9820114875,0.9782614875,0.9907616,0.9932616750000003,1.0,0.9895117875000009,1.0,0.9820116,0.9707619375,0.9857619,0.9820114875,0.9932616750000003,0.9895117875000009,0.9932616750000003,0.9707619375,0.9932616750000003,0.9870114875,0.9895117875000009,0.9782614875,0.9820116,0.9707619375,0.9907614875,1.0,0.9845119375000011,0.9745119375,0.9895117875000009,0.9932616750000003
2025/04/15/13:00,0.9707616,0.9932616750000003,0.9895117875000009,0.9820114875,0.9895117875000009,0.9895117875000009,1.0,0.9782614875,0.9920113375,0.9820116,0.9707619375,0.9707619375,0.9782616,0.9820116,1.0,0.9782614875,0.9782614875,0.9745119375,0.9845119375000011,0.9882612249999991,0.9845119375000011,0.9745119375,1.0,0.9820114875,0.9782614875,0.9907616,0.9932616750000003,1.0,0.9895117875000009,1.0,0.9820116,0.9707619375,0.9857619,0.9820114875,0.9932616750000003,0.9895117875000009,0.9932616750000003,0.9707619375,0.9932616750000003,0.9870114875,0.9895117875000009,0.9782614875,0.9820116,0.9707619375,0.9907614875,1.0,0.9845119375000011,0.9745119375,0.9895117875000009,0.9932616750000003
2025/04/15/14:00,0.9707616,0.9932616750000003,0.9895117875000009,0.9820114875,0.9895117875000009,0.9895117875000009,1.0,0.9782614875,0.9920113375,0.9820116,0.9707619375,0.9707619375,0.9782616,0.9820116,1.0,0.9782614875,0.9782614875,0.9745119375,0.9845119375000011,1.0302694874999991,1.0090196750000013,0.9745119375,1.0,0.9820114875,0.9782614875,0.9907616,0.9932616750000003,1.0,0.9895117875000009,1.0,0.9820116,0.9707619375,1.0102696375000002,0.9820114875,0.9932616750000003,0.9895117875000009,0.9932616750000003,0.9707619375,0.9932616750000003,0.9870114875,0.9895117875000009,0.9782614875,0.9820116,0.9707619375,0.9907614875,1.0,0.9690184750000008,0.9745119375,0.9895117875000009,0.9932616750000003
2025/04/15/15:00,1.0115198999999997,0.9765182499999997,1.0302700875000006,0.9820114875,0.9727683625000003,1.0302700875000006,0.9832565749999994,1.0190197874999998,1.0327696374999997,1.0227698999999997,0.9540185124999994,1.0115202374999996,1.0190198999999998,1.0227698999999997,0.9995069875000003,0.9615180624999994,1.0190197874999998,1.0152702374999998,0.9845119375000011,1.0297764749999994,1.0085266625000018,1.0152702374999998,1.0082573249999995,1.0227697874999997,1.0190197874999998,1.0315198999999997,1.0015189999999998,0.9832565749999994,0.9727683625000003,1.0082573249999995,0.9765185124999991,1.0115202374999996,1.0097766250000006,0.9902688124999994,0.9765182499999997,0.9895117875000009,0.9765182499999997,1.0115202374999996,0.9765182499999997,1.0277697874999998,0.9977691125000003,1.0190197874999998,1.0227698999999997,1.0115202374999996,0.9990188124999995,0.9832565749999994,0.9685254625000012,0.9827692624999994,1.0302700875000006,1.034019975
2025/04/16/09:00,1.0115198999999997,0.9765182499999997,1.0302700875000006,0.9820114875,0.9727683625000003,1.0302700875000006,0.9832565749999994,1.0190197874999998,1.0327696374999997,1.0227698999999997,0.9540185124999994,1.0115202374999996,1.0190198999999998,1.0227698999999997,0.9995069875000003,0.9615180624999994,1.0190197874999998,1.0152702374999998,0.9845119375000011,1.0297764749999994,1.0085266625000018,1.0152702374999998,1.0082573249999995,1.0227697874999997,1.0190197874999998,1.0315198999999997,1.0015189999999998,0.9832565749999994,0.9727683625000003,1.0082573249999995,0.9765185124999991,1.0115202374999996,1.0097766250000006,0.9902688124999994,0.9765182499999997,0.9895117875000009,0.9765182499999997,1.0115202374999996,0.9765182499999997,1.0277697874999998,0.9977691125000003,1.0190197874999998,1.0227698999999997,1.0115202374999996,0.9990188124999995,0.9832565749999994,0.9685254625000012,0.9827692624999994,1.0302700875000006,1.034019975
2025/04/16/10:00,0.9822806374999997,0.9765182499999997,1.0302700875000006,0.9820114875,0.9727683625000003,1.0302700875000006,0.9832565749999994,1.0190197874999998,1.0327696374999997,1.0227698999999997,0.9540185124999994,1.0115202374999996,1.0190198999999998,1.0047806374999997,0.9995069875000003,0.9615180624999994,1.0190197874999998,1.0152702374999998,0.9845119375000011,1.0297764749999994,1.0085266625000018,1.0152702374999998,1.0082573249999995,1.0227697874999997,1.0190197874999998,1.0222806374999998,1.0015189999999998,0.9832565749999994,0.9727683625000003,1.0082573249999995,0.9765185124999991,1.0115202374999996,1.0097766250000006,0.9902688124999994,0.9765182499999997,0.9895117875000009,0.9765182499999997,1.0115202374999996,0.9765182499999997,1.0277697874999998,0.9977691125000003,1.0190197874999998,1.0047806374999997,1.0115202374999996,0.9990188124999995,0.9832565749999994,0.9685254625000012,0.9827692624999994,1.0302700875000006,1.034019975
2025/04/16/11:00,0.9822806374999997,0.9765182499999997,1.0302700875000006,0.9820114875,0.9727683625000003,1.0302700875000006,0.9832565749999994,1.0190197874999998,1.0327696374999997,1.0227698999999997,0.9540185124999994,1.0115202374999996,1.0190198999999998,1.0047806374999997,0.9995069875000003,0.9615180624999994,0.9972808249999997,1.0152702374999998,0.9845119375000011,1.0297764749999994,1.0085266625000018,1.0152702374999998,1.0082573249999995,1.0227697874999997,1.0190197874999998,1.0222806374999998,1.0015189999999998,0.9832565749999994,0.9727683625000003,1.0082573249999995,0.9765185124999991,1.0115202374999996,0.9917876625000006,0.9722798499999994,0.9765182499999997,0.9895117875000009,0.9472792874999997,1.0115202374999996,0.9765182499999997,1.0277697874999998,0.9977691125000003,1.0190197874999998,1.0047806374999997,1.0115202374999996,0.9990188124999995,0.9832565749999994,0.9685254625000012,0.9827692624999994,1.0302700875000006,1.034019975
2025/04/16/12:00,0.9822806374999997,0.9765182499999997,1.0302700875000006,0.9820114875,0.9727683625000003,1.0302700875000006,0.9832565749999994,1.0190197874999998,1.0327696374999997,1.0227698999999997,0.9540185124999994,1.0115202374999996,1.0190198999999998,1.0047806374999997,0.9995069875000003,0.9615180624999994,0.9972808249999997,1.0152702374999998,0.9845119375000011,1.0297764749999994,1.0085266625000018,1.0152702374999998,1.0082573249999995,1.0227697874999997,1.0190197874999998,1.0222806374999998,1.0015189999999998,0.9832565749999994,0.9727683625000003,1.0082573249999995,0.9765185124999991,1.0115202374999996,0.9917876625000006,0.9722798499999994,0.9765182499999997,0.9895117875000009,0.9472792874999997,1.0115202374999996,0.9765182499999997,1.0277697874999998,0.9977691125000003,1.0190197874999998,1.0047806374999997,1.0115202374999996,0.9990188124999995,0.9832565749999994,0.9685254625000012,0.9827692624999994,1.0302700875000006,1.034019975
2025/04/16/13:00,0.9822806374999997,0.9765182499999997,1.0302700875000006,0.9820114875,0.9727683625000003,1.0302700875000006,0.9832565749999994,1.0190197874999998,1.0327696374999997,1.0227698999999997,0.9540185124999994,1.0115202374999996,1.0190198999999998,1.0047806374999997,0.9995069875000003,0.9615180624999994,0.9972808249999997,1.0152702374999998,0.9845119375000011,1.0297764749999994,1.0085266625000018,1.0152702374999998,1.0082573249999995,1.0227697874999997,1.0190197874999998,1.0222806374999998,1.0015189999999998,0.9832565749999994,0.9727683625000003,1.0082573249999995,0.9765185124999991,1.0115202374999996,0.9917876625000006,0.9722798499999994,0.9765182499999997,0.9895117875000009,0.9472792874999997,1.0115202374999996,0.9765182499999997,1.0277697874999998,0.9977691125000003,1.0190197874999998,1.0047806374999997,1.0115202374999996,0.9990188124999995,0.9832565749999994,0.9685254625000012,0.9827692624999994,1.0302700875000006,1.034019975
2025/04/16/14:00,0.9822806374999997,0.9765182499999997,1.0302700875000006,0.9820114875,0.9727683625000003,1.0302700875000006,0.9832565749999994,1.0190197874999998,1.0327696374999997,1.0227698999999997,0.9540185124999994,1.0115202374999996,0.9972828874999997,1.0047806374999997,0.9995069875000003,0.9615180624999994,0.9972808249999997,1.0152702374999998,0.9845119375000011,1.0297764749999994,1.0085266625000018,1.0152702374999998,1.0082573249999995,1.0227697874999997,1.0190197874999998,1.0222806374999998,1.0015189999999998,0.9832565749999994,0.9727683625000003,1.0082573249999995,0.9765185124999991,1.0115202374999996,0.9917876625000006,0.9722798499999994,0.9765182499999997,0.9895117875000009,0.9472792874999997,1.0115202374999996,0.9765182499999997,1.0277697874999998,0.9977691125000003,1.0190197874999998,1.0047806374999997,1.0115202374999996,0.9990188124999995,0.9832565749999994,0.9685254625000012,0.9827692624999994,1.0302700875000006,1.034019975
