dates,model0,model1,model2,model3,model4,model5,model6,model7,model8,model9,model10,model11,model12,model13,model14,model15,model16,model17,model18,model19
2021/01/05/13:00,0.9743960605532368,1.0048790632610887,1.0,1.0425492751773342,0.8805712161419702,0.9743960605532368,0.8445072980893314,0.9623297880837545,1.0425492751773342,1.0425492751773342,0.9647689827867935,1.0425492751773342,1.0425492751773342,0.9743960605532368,1.0425492751773342,1.0,1.0425492751773342,0.9158694423705755,1.0048790632610887,1.0425492751773342
2021/01/05/14:00,0.8452716422033402,0.8757537303936753,1.0,1.0425492751773342,0.8805712161419702,0.8452716422033402,0.7153828797394348,0.8332044552163411,1.0425492751773342,1.0425492751773342,0.8356436499193802,1.0425492751773342,1.0425492751773342,0.8452716422033402,1.0425492751773342,0.8869177270457869,0.9134248568274377,0.9158694423705755,0.8757537303936753,1.0425492751773342
2021/01/05/15:00,0.9166917540598118,0.947173842250147,1.1837326498565772,1.2262819250339114,1.0659083308271207,0.9166917540598118,0.7868029915959066,0.9046245670728128,1.2262819250339114,1.2262819250339114,0.9070637617758519,1.2262819250339114,1.2262819250339114,0.9166917540598118,1.2262819250339114,0.9583378389022587,0.9848449686839094,1.1365047832843316,0.947173842250147,1.2262819250339114
2021/01/06/09:00,0.9166917540598118,0.947173842250147,1.1837326498565772,1.2262819250339114,1.0659083308271207,0.9166917540598118,0.7868029915959066,0.9046245670728128,1.2262819250339114,1.2262819250339114,0.9070637617758519,1.2262819250339114,1.2262819250339114,0.9166917540598118,1.2262819250339114,0.9583378389022587,0.9848449686839094,1.1365047832843316,0.947173842250147,1.2262819250339114
2021/01/06/10:00,0.9166917540598118,0.947173842250147,1.1837326498565772,1.2262819250339114,1.0659083308271207,0.9166917540598118,0.7868029915959066,0.9046245670728128,1.2262819250339114,1.2262819250339114,0.9070637617758519,1.2262819250339114,1.2262819250339114,0.9166917540598118,1.2262819250339114,0.9583378389022587,0.9848449686839094,1.1365047832843316,0.947173842250147,1.2262819250339114
2021/01/06/11:00,0.9166917540598118,0.947173842250147,1.1837326498565772,1.2262819250339114,1.0659083308271207,0.9166917540598118,0.7868029915959066,0.9046245670728128,1.2262819250339114,1.2262819250339114,0.9070637617758519,1.2262819250339114,1.2262819250339114,0.9166917540598118,1.2262819250339114,0.9583378389022587,0.9848449686839094,1.1365047832843316,0.947173842250147,1.2262819250339114
2021/01/06/12:00,0.9166917540598118,0.947173842250147,1.1837326498565772,1.2262819250339114,1.0659083308271207,0.9166917540598118,0.7868029915959066,0.9046245670728128,1.2110635353024926,1.2262819250339114,0.9070637617758519,1.2262819250339114,1.2262819250339114,0.9166917540598118,1.2262819250339114,0.9583378389022587,0.9848449686839094,1.1365047832843316,0.947173842250147,1.2262819250339114
2021/01/06/13:00,0.9166917540598118,0.947173842250147,1.1837326498565772,1.2262819250339114,1.0659083308271207,0.9166917540598118,0.7868029915959066,0.9046245670728128,1.1733826379710512,1.2262819250339114,0.9070637617758519,1.2262819250339114,1.2262819250339114,0.9166917540598118,1.2262819250339114,0.9583378389022587,0.9848449686839094,1.1365047832843316,0.947173842250147,1.2262819250339114
2021/01/06/14:00,0.9166917540598118,0.947173842250147,1.1837326498565772,1.2262819250339114,1.0218113069514216,0.9166917540598118,0.7868029915959066,0.9046245670728128,1.1068231064953293,1.2262819250339114,0.9070637617758519,1.2262819250339114,1.2262819250339114,0.9166917540598118,1.2262819250339114,0.9583378389022587,0.9551881282653663,1.1365047832843316,0.947173842250147,1.1436777452724605
2021/01/06/15:00,0.837296311425502,0.8677783996158371,1.1043372072222675,1.1468864823996017,1.0178259037900457,0.8758034673112539,0.7074075489615967,0.8781764637814109,1.1028377033339536,1.1468864823996017,0.8276683191415419,1.1468864823996017,1.1468864823996017,0.89024365076841,1.1468864823996017,0.8789423962679487,0.9512027251039904,1.0571093406500216,0.9207257389587451,1.1396923421110845
