dates,model0,model1,model2,model3,model4
2024/02/06/14:00,1.0325150046484701,0.845050462560773,1.1111307210461376,1.0864931797052424,1.102360187767669
2024/02/06/15:00,1.0325150046484701,0.845050462560773,1.1111307210461376,1.0828090927102865,1.102360187767669
2024/02/07/09:00,1.0325150046484701,0.845050462560773,1.1111307210461376,1.0828090927102865,1.102360187767669
2024/02/07/10:00,1.0325150046484701,0.845050462560773,1.1111307210461376,1.0828090927102865,1.102360187767669
2024/02/07/11:00,1.0325150046484701,0.845050462560773,1.1111307210461376,1.0828090927102865,1.102360187767669
2024/02/07/12:00,1.0325150046484701,0.845050462560773,1.1111307210461376,1.0828090927102865,1.102360187767669
2024/02/07/13:00,0.977003642570833,0.7895391004831359,1.0556193589685006,1.0272977306326494,1.102360187767669
2024/02/07/14:00,0.977003642570833,0.7895391004831359,1.0556193589685006,1.0272977306326494,1.102360187767669
2024/02/07/15:00,0.977003642570833,0.7895391004831359,1.0556193589685006,1.0272977306326494,1.104763674881504
2024/02/08/09:00,0.977003642570833,0.7895391004831359,1.0556193589685006,1.0272977306326494,1.104763674881504
2024/02/08/10:00,0.977003642570833,0.7895391004831359,1.0556193589685006,1.0272977306326494,1.104763674881504
2024/02/08/11:00,0.977003642570833,0.7895391004831359,1.0556193589685006,1.0272977306326494,1.104763674881504
2024/02/08/12:00,0.977003642570833,0.7895391004831359,1.0556193589685006,1.0272977306326494,1.0903990367762506
2024/02/08/13:00,0.948921890479021,0.7895391004831359,1.0556193589685006,1.0272977306326494,1.0903990367762506
2024/02/08/14:00,0.948921890479021,0.7895391004831359,1.0556193589685006,1.0272977306326494,1.0903990367762506
2024/02/08/15:00,0.9650400225565059,0.7568859524789291,1.0229662109642936,0.9946445826284426,1.1080412113453155
2024/02/13/09:00,0.9650400225565059,0.7568859524789291,1.0229662109642936,0.9946445826284426,1.1080412113453155
2024/02/13/10:00,0.9650400225565059,0.7568859524789291,1.0229662109642936,0.9946445826284426,1.1080412113453155
2024/02/13/11:00,0.9650400225565059,0.7568859524789291,1.0229662109642936,0.9946445826284426,1.1080412113453155
2024/02/13/12:00,0.9650400225565059,0.7568859524789291,1.0229662109642936,0.9946445826284426,1.1080412113453155
2024/02/13/13:00,0.9650400225565059,0.7568859524789291,1.0229662109642936,0.9946445826284426,1.1080412113453155
2024/02/13/14:00,0.9650400225565059,0.7568859524789291,1.0229662109642936,0.9946445826284426,1.1080412113453155
2024/02/13/15:00,0.9400005029491107,0.731846432871534,0.9979266913568985,0.9696050630210473,1.0830016917379202
2024/02/14/09:00,0.9400005029491107,0.731846432871534,0.9979266913568985,0.9696050630210473,1.0830016917379202
2024/02/14/10:00,0.8844906039961593,0.731846432871534,0.942416792403947,0.9696050630210473,1.0830016917379202
2024/02/14/11:00,0.8844906039961593,0.731846432871534,0.942416792403947,0.9696050630210473,1.0830016917379202
2024/02/14/12:00,0.8844906039961593,0.731846432871534,0.942416792403947,0.9696050630210473,1.0830016917379202
2024/02/14/13:00,0.8844906039961593,0.731846432871534,0.942416792403947,0.9696050630210473,1.0830016917379202
2024/02/14/14:00,0.8844906039961593,0.731846432871534,0.942416792403947,0.9696050630210473,1.0830016917379202
2024/02/14/15:00,0.8844906039961593,0.7235813482084337,0.942416792403947,0.9613404355844113,1.0930255742002362
2024/02/15/09:00,0.8844906039961593,0.7235813482084337,0.942416792403947,0.9613404355844113,1.0930255742002362
2024/02/15/10:00,0.8579357292000054,0.6970264734122797,0.9158619176077932,0.9613404355844113,1.0930255742002362
2024/02/15/11:00,0.8579357292000054,0.6970264734122797,0.9121690518647233,0.9613404355844113,1.0930255742002362
2024/02/15/12:00,0.8435739258988306,0.682664670111105,0.9121690518647233,0.9613404355844113,1.0930255742002362
2024/02/15/13:00,0.8170197826650214,0.6561105268772955,0.8962838461890188,0.9613404355844113,1.0930255742002362
2024/02/15/14:00,0.8170197826650214,0.6561105268772955,0.886495176260803,0.9613404355844113,1.0930255742002362
2024/02/15/15:00,0.8118035145474234,0.6508942587596976,0.8812786338073247,0.968316507399448,1.0930255742002362
2024/02/16/09:00,0.8118035145474234,0.6508942587596976,0.8812786338073247,0.968316507399448,1.0930255742002362
2024/02/16/10:00,0.8118035145474234,0.6508942587596976,0.8812786338073247,0.968316507399448,1.0930255742002362
2024/02/16/11:00,0.8118035145474234,0.6508942587596976,0.8812786338073247,0.968316507399448,1.0930255742002362
2024/02/16/12:00,0.8118035145474234,0.6508942587596976,0.8812786338073247,0.968316507399448,1.0930255742002362
2024/02/16/13:00,0.8118035145474234,0.6508942587596976,0.8812786338073247,0.968316507399448,1.0930255742002362
2024/02/16/14:00,0.8118035145474234,0.6508942587596976,0.8812786338073247,0.968316507399448,1.0930255742002362
2024/02/16/15:00,0.8507808208739139,0.6563406184749976,0.9004421989544747,0.968316507399448,1.0930255742002362
2024/02/19/09:00,0.8507808208739139,0.6563406184749976,0.9004421989544747,0.968316507399448,1.0930255742002362
2024/02/19/10:00,0.8507808208739139,0.6563406184749976,0.9004421989544747,0.968316507399448,1.0930255742002362
2024/02/19/11:00,0.8507808208739139,0.6563406184749976,0.9004421989544747,0.968316507399448,1.0930255742002362
2024/02/19/12:00,0.8507808208739139,0.6563406184749976,0.9004421989544747,0.968316507399448,1.0930255742002362
2024/02/19/13:00,0.8507808208739139,0.6563406184749976,0.9004421989544747,0.968316507399448,1.0930255742002362
2024/02/19/14:00,0.8507808208739139,0.6563406184749976,0.9004421989544747,0.968316507399448,1.0930255742002362
2024/02/19/15:00,0.8684100102113934,0.6739698078124772,0.9180713882919543,0.9859456967369274,1.0930255742002362
2024/02/20/09:00,0.8684100102113934,0.6739698078124772,0.9180713882919543,0.9859456967369274,1.0930255742002362
2024/02/20/10:00,0.8128890463780067,0.6739698078124772,0.9180713882919543,0.9859456967369274,1.0930255742002362
2024/02/20/11:00,0.8128890463780067,0.6739698078124772,0.9180713882919543,0.9859456967369274,1.0930255742002362
2024/02/20/12:00,0.8128890463780067,0.6739698078124772,0.9180713882919543,0.9859456967369274,1.0930255742002362
2024/02/20/13:00,0.8128890463780067,0.6739698078124772,0.938757167024827,0.9859456967369274,1.1701009251215462
2024/02/20/14:00,0.8128890463780067,0.6739698078124772,0.938757167024827,0.9859456967369274,1.1587818115312507
2024/02/20/15:00,0.8128890463780067,0.6519809336564413,0.9624910307408575,1.0173002301373193,1.1230765549510007
2024/02/21/09:00,0.8128890463780067,0.6519809336564413,0.9624910307408575,1.0173002301373193,1.1230765549510007
2024/02/21/10:00,0.8128890463780067,0.6519809336564413,0.9069720787039136,1.0173002301373193,1.0675576029140568
2024/02/21/11:00,0.8128890463780067,0.6519809336564413,0.9069720787039136,1.0173002301373193,1.0675576029140568
2024/02/21/12:00,0.8128890463780067,0.6970527639339779,0.9069720787039136,1.0173002301373193,1.0675576029140568
